Concursos	NOUN.Masc.Plur	concurso
,	PUNCT.Comma	,
fisioterapeuta	NOUN.Masc.Sing	fisioterapeuta
,	PUNCT.Comma	,
fonoaudiologo	NOUN.Masc.Sing	<unknown>
,	PUNCT.Comma	,
jornalista	NOUN.Masc.Sing	jornalista
,	PUNCT.Comma	,
medicos	ADJ.Masc.Plur	<unknown>
auditor	ADJ.Masc.Sing	auditor
,	PUNCT.Comma	,
cardiologista	NOUN.Masc.Sing	cardiologista
,	PUNCT.Comma	,
cirurgiao	VERB.Fin.Sing	<unknown>
,	PUNCT.Comma	,
clinico	VERB.Fin.Sing	clinicar
geral	ADJ.Masc.Sing	geral
,	PUNCT.Comma	,
dermatologista	NOUN.Masc.Sing	dermatologista
,	PUNCT.Comma	,
do	ADP_DET.Masc.Sing	de_o
trabalho	NOUN.Masc.Sing	trabalho
,	PUNCT.Comma	,
endocrinologista	NOUN.Masc.Sing	endocrinologista
,	PUNCT.Comma	,
epidemiologista	NOUN.Masc.Sing	epidemiologista
,	PUNCT.Comma	,
gastroenterologista	ADJ.Masc.Sing	gastroenterologista
,	PUNCT.Comma	,
geriatra	NOUN.Masc.Sing	geriatra
,	PUNCT.Comma	,
ginecologista	ADJ.Masc.Sing	ginecologista
e	CCONJ	e
obstetra	ADJ.Masc.Sing	obstetra
,	PUNCT.Comma	,
hemoterapeuta	ADJ.Masc.Sing	<unknown>
,	PUNCT.Comma	,
infectologista	ADJ.Masc.Sing	infectologista
,	PUNCT.Comma	,
intensivista	ADJ.Masc.Sing	<unknown>
,	PUNCT.Comma	,
mastologista	ADJ.Masc.Sing	mastologista
,	PUNCT.Comma	,
nefrologista	NOUN.Masc.Sing	nefrologista
,	PUNCT.Comma	,
neurologista	NOUN.Masc.Sing	neurologista
,	PUNCT.Comma	,
oftalmologista	ADJ.Masc.Sing	oftalmologista
,	PUNCT.Comma	,
oncologista	NOUN.Masc.Sing	oncologista
,	PUNCT.Comma	,
pediatra	NOUN.Masc.Sing	pediatra
,	PUNCT.Comma	,
pneumologista	NOUN.Masc.Sing	pneumologista
,	PUNCT.Comma	,
psiquiatra	ADJ.Masc.Sing	psiquiatra
,	PUNCT.Comma	,
regulador	ADJ.Masc.Sing	regulador
,	PUNCT.Comma	,
reumatologista	ADJ.Masc.Sing	reumatologista
,	PUNCT.Comma	,
sanitarista	NOUN.Masc.Sing	sanitarista
,	PUNCT.Comma	,
traumato-ortopedista	ADJ.Masc.Sing	<unknown>
e	CCONJ	e
veterinario	ADJ.Masc.Sing	<unknown>
,	PUNCT.Comma	,
nutricionista	ADJ.Masc.Sing	nutricionista
,	PUNCT.Comma	,
odontologo	ADJ.Masc.Sing	<unknown>
,	PUNCT.Comma	,
pedagogo	NOUN.Masc.Sing	pedagogo
,	PUNCT.Comma	,
psicologo	ADJ.Masc.Sing	<unknown>
,	PUNCT.Comma	,
quimico	ADJ.Masc.Sing	<unknown>
,	PUNCT.Comma	,
recreacionista	ADJ.Masc.Sing	<unknown>
,	PUNCT.Comma	,
relacoes	VERB.Fin.Sing	<unknown>
publicas	VERB.Fin.Sing	publicar
,	PUNCT.Comma	,
sanitarista	NOUN.Masc.Sing	sanitarista
,	PUNCT.Comma	,
sociologo	ADJ.Masc.Sing	<unknown>
e	CCONJ	e
terapeuta	NOUN.Fem.Sing	terapeuta
ocupacional	ADJ.Fem.Sing	ocupacional
Niveis	VERB.Fin.Plur	<unknown>
:	PUNCT.Colon	:
medio	ADJ.Masc.Sing	<unknown>
,	PUNCT.Comma	,
tecnico	ADJ.Masc.Sing	<unknown>
e	CCONJ	e
superior	ADJ.Masc.Sing	alto
Salarios	NOUN.Masc.Plur	<unknown>
:	PUNCT.Colon	:
de	ADP	de
R$	SYM	R$
1.079,42	NUM	@card@
a	ADP	a
R$	SYM	R$
6.234,14	NUM	@card@
.	PUNCT.Sent	.
Prazo	NOUN.Masc.Sing	prazo
:	PUNCT.Colon	:
11	NUM	11
de	ADP	de
novembro	NOUN.Masc.Sing	novembro
Taxa	PROPN.Fem.Sing	Taxa
:	PUNCT.Colon	:
de	ADP	de
R$	SYM	R$
60,17	NUM	@card@
a	ADP	a
R$	SYM	R$
137,19	NUM	@card@
Inscricoes	NOUN.Masc.Plur	<unknown>
:	PUNCT.Colon	:
www	NOUN.Masc.Sing	<unknown>
.	PUNCT.Sent	.
